Body Mass Index,,,,,,,,0.0,Te mager
,,,,,,,,18.5,Normaal gewicht
Voornaam,Naam,Gewicht,Lengte,BMI,Resultaat,,,25.0,Licht overgewicht
Wouter,Geys,82,178,25.9,Licht overgewicht,,,30.0,Overgewicht
Lieve,Mareels,58,172,19.6,Normaal gewicht,,,,
Hilde,Reniers,81,174,26.8,Licht overgewicht,,,,
Karlien,Van Mechelen,79,170,27.3,Licht overgewicht,,,,
Myriam,Vercauteren,69,173,23.1,Normaal gewicht,,,,
Brigitte,Van den Brande,65,169,22.8,Normaal gewicht,,,,
Tilly,Laeremans,59,180,18.2,Te mager,,,,
Lia,Eeckhaut,86,178,27.1,Licht overgewicht,,,,
Peter,Cleeren,105,183,31.4,Overgewicht,,,,
Marie,Pauwels,78,165,28.7,Licht overgewicht,,,,
Rita,Smeers,89,169,31.2,Overgewicht,,,,
,,,,,,,,,
,,,,,,,,,
