ID,Salesperson,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter,Total,Rank,Label,Items sold total,Max items sold
1,Diana Coolen,353,378,396,387,1514,2,Great,34,20
2,Marc Desmet,370,408,387,386,1551,1,Great,29,10
3,Kris Goossens,175,146,167,203,691,3,Low,19,19
4,Birgit Kenis,93,98,96,105,392,4,Low,17,15
,,,,,,,,,,
,Total,991,1030,1046,1081,4148,,,Scores,Label
,Average,247.75,257.5,261.5,270.25,1037,,,0%,Low
,Max,370,408,396,387,1551,,,80%,Normal
,Min,93,98,96,105,392,,,120%,Great
,,,,,,,,,,
,Customer,Contact,Contact Name,,,Salesperson,Items sold,,,
,Frank,1,Diana Coolen,,,Diana Coolen,5,,,
,Sarah,3,Kris Goossens,,,Marc Desmet,10,,,
,George,3,Kris Goossens,,,Marc Desmet,8,,,
,Mary,2,Diana Coolen,,,Diana Coolen,9,,,
,Tim,4,Birgit Kenis,,,Birgit Kenis,15,,,
,,,,,,Marc Desmet,8,,,
,Quarter,Income,Expenses,Total,,Birgit Kenis,2,,,
,Q1,991,212,779,,Diana Coolen,20,,,
,Q2,1030,710,1099,,Marc Desmet,3,,,
,Q3,1046,137,2008,,Kris Goossens,19,,,
,Q4,1081,240,2849,,,,,,
,,,,,,,,,,
